nctid,restart_date,restart_status
NCT03609450,NA,NA
NCT03705273,NA,NA
NCT03967093,NA,NA
NCT02597660,NA,NA
NCT02767570,NA,NA
NCT03452540,NA,NA
NCT04540393,NA,NA
NCT02957604,NA,NA
NCT03089463,NA,NA
NCT03280121,NA,NA
NCT03557970,NA,NA
NCT03630120,NA,NA
NCT04290442,NA,NA
NCT03074318,NA,NA
NCT03454672,NA,NA
NCT04098419,NA,NA
NCT04633031,NA,NA
NCT02831933,NA,NA
NCT03837457,NA,NA
NCT03949673,NA,NA
NCT04429464,NA,NA
NCT02070887,NA,NA
NCT03416816,NA,NA
NCT04329923,NA,NA
NCT04563559,NA,NA
NCT02154230,NA,NA
NCT02420795,NA,NA
NCT03205046,NA,NA
NCT03341273,NA,NA
NCT03956550,NA,NA
NCT04371640,NA,NA
NCT04645264,NA,NA
NCT03078868,NA,NA
NCT03341676,NA,NA
NCT03400748,NA,NA
NCT03684642,NA,NA
NCT04117438,NA,NA
NCT01891643,NA,NA
NCT01433198,NA,NA
NCT03875313,NA,NA
NCT03309098,NA,NA
NCT04140669,NA,NA
NCT02452983,NA,NA
NCT04072874,NA,NA
NCT04148742,NA,NA
NCT02704403,NA,NA
NCT03676543,NA,NA
NCT04167345,NA,NA
NCT02940223,NA,NA
NCT01620216,NA,NA
NCT03137693,NA,NA
NCT03165721,NA,NA
NCT04052204,NA,NA
NCT04151225,NA,NA
NCT04497948,NA,NA
NCT01861028,NA,NA
NCT02046135,NA,NA
NCT02576977,NA,NA
NCT02579863,NA,NA
NCT02663934,NA,NA
NCT03041116,NA,NA
NCT03058146,NA,NA
NCT03660657,NA,NA
NCT04069910,NA,NA
NCT04073823,NA,NA
NCT00272987,NA,NA
NCT01101581,NA,NA
NCT01510561,NA,NA
NCT01714817,NA,NA
NCT01915472,NA,NA
NCT02926521,NA,NA
NCT03068130,NA,NA
NCT03844646,NA,NA
NCT03909295,NA,NA
NCT04125745,NA,NA
NCT04287179,NA,NA
NCT04355676,NA,NA
NCT04558216,NA,NA
NCT03091478,NA,NA
NCT03240003,NA,NA
NCT03993314,NA,NA
NCT04185727,NA,NA
NCT02382588,NA,NA
NCT03537612,NA,NA
NCT03348735,NA,NA
NCT03391765,NA,NA
NCT03720210,NA,NA
NCT04139382,NA,NA
NCT01842282,NA,NA
NCT03631654,NA,NA
NCT01805037,NA,NA
NCT02213757,NA,NA
NCT02282514,NA,NA
NCT04663269,NA,NA
NCT04668859,NA,NA
NCT03713320,NA,NA
NCT03720392,NA,NA
NCT03773172,NA,NA
NCT03881553,NA,NA
NCT03881748,NA,NA
NCT03901079,NA,NA
NCT04388722,NA,NA
NCT00470249,NA,NA
NCT02110069,NA,NA
NCT04324021,NA,NA
NCT04531865,NA,NA
NCT04577131,NA,NA
NCT04511975,NA,NA
NCT02977286,NA,NA
NCT03561090,NA,NA
NCT03610581,NA,NA
NCT03763929,NA,NA
NCT04042051,NA,NA
NCT04063943,NA,NA
NCT04212650,NA,NA
